citing_paper,citing_doi,local_number,full_citation,doi
Shono&vandenBrink_2018,10.1038/nrc.2018.10,89,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03078010 (2017). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,95,"Reuter S et al. Impact of fluoroquinolone prophylaxis on reduced infection-related mortality among patients with neutropenia and hematologic malignancies. Clin. Infect. Dis 40, 1087–1093 (2005). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,101,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02641236 (2016). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,106,"Smith PM et al. The microbial metabolites, short-chain fatty acids, regulate colonic Treg cell homeostasis. Science 341, 569–573 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,112,"Sivan A et al. Commensal Bifidobacterium promotes antitumor immunity and facilitates anti-PD-L1 efficacy. Science 350, 1084–1089 (2015). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,113,"Vetizou M et al. Anticancer immunotherapy by CTLA-4 blockade relies on the gut microbiota. Science 350, 1079–1084 (2015). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,115,"Zitvogel L, Ayyoub M, Routy B & Kroemer G Microbiome and anticancer immunosurveillance. Cell 165, 276–287 (2016). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,118,"Rajilic-Stojanovic M & de Vos WM The first 1000 cultured species of the human gastrointestinal microbiota. FEMS Microbiol. Rev 38, 996–1047 (2014). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,120,"Peled JU Jenq RR Holler B & van den Brink MR Role of gut flora after bone marrow transplantation. Nat. Microbiol 1, 16036 (2016). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,123,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02805075 (2016). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,124,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02763033 (2016). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,128,"Youngster I et al. Oral, capsulized, frozen fecal microbiota transplantation for relapsing Clostridium difficile infection. JAMA 312, 1772–1778 (2014). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,129,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02733744 (2017). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,131,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/NCT02218151 (2016). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,133,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02144701 (2017). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,141,"Rausch P et al. Colonic mucosa-associated microbiota is influenced by an interaction of Crohn disease and FUT2 (Secretor) genotype. Proc. Natl Acad. Sci. USA 108, 19030–19035 (2011). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,142,"Rouquier S et al. Molecular cloning of a human genomic region containing the H blood group alpha(1,2)fucosyltransferase gene and two H locus-related DNA restriction fragments. Isolation of a candidate for the human Secretor blood group locus. J. Biol. Chem 270, 4632–4639 (1995). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,146,"Kline KA, Falker S, Dahlberg S, Normark S & Henriques-Normark B Bacterial adhesins in host-microbe interactions. Cell Host Microbe 5, 580–592 (2009). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,148,"Fiedler K, Kokai E, Bresch S & Brunner C MyD88 is involved in myeloid as well as lymphoid hematopoiesis independent of the presence of a pathogen. Am. J. Blood Res 3, 124–140 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,149,"Yanez A, Goodridge HS, Gozalbo D & Gil ML TLRs control hematopoiesis during infection. Eur. J. Immunol 43, 2526–2533 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,155,"Ursell LK, Metcalf JL, Parfrey LW & Knight R Defining the human microbiome. Nutr. Rev 70 (Suppl. 1), S38–44 (2012). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,157,"Baumgartner A et al. Revisiting nutritional support for allogeneic hematologic stem cell transplantation — a systematic review. Bone Marrow Transplant. 52, 506–513 (2017). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,159,"Martin-Salces M, de Paz R, Canales MA, Mesejo A & Hernandez-Navarro F Nutritional recommendations in hematopoietic stem cell transplantation. Nutrition 24, 769–775 (2008). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,161,"Flowers ME et al. Long-Term Follow-Up After Hematopoietic Stem Cell Transplant. General Guidelines for Referring Physicians (Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance, Seattle, 2008).",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,166,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT01955772 (2016). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,168,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT03102060 (2017). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,169,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02461199 (2015). - PubMed,NA
