sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SAMEA4506980	Liu2017	227190	227160	218813	218255	218255	215784	215784	215196	merged
SAMEA4506981	Liu2017	250292	250265	241811	241229	241229	240220	240220	240207	merged
SAMEA4506982	Liu2017	227313	227288	216033	214775	214775	204912	204899	198296	merged
SAMEA4506983	Liu2017	92070	92060	89418	88966	88966	88120	88086	87825	merged
SAMEA4506984	Liu2017	263257	263226	253121	251003	251003	232009	231798	228068	merged
SAMEA4506985	Liu2017	231694	231671	222757	222231	222231	220958	220917	219782	merged
SAMEA4506986	Liu2017	367512	367478	355393	354655	354655	353030	352281	349947	merged
SAMEA4506987	Liu2017	86787	86772	81176	80795	80795	80327	80327	78455	merged
SAMEA4506988	Liu2017	359475	359440	346161	344959	344959	329161	327878	323520	merged
SAMEA4506989	Liu2017	285298	285275	274876	273383	273383	273379	273379	273375	merged
SAMEA4506990	Liu2017	373727	373681	361568	360640	360640	352947	351064	349579	merged
SAMEA4506991	Liu2017	221069	221058	212973	211562	211562	193735	193731	192592	merged
SAMEA4506992	Liu2017	630213	630149	607535	606062	606062	604140	603883	602219	merged
SAMEA4506993	Liu2017	181630	181608	172085	171144	171144	167357	165479	161612	merged
SAMEA4506994	Liu2017	492057	492009	474228	472884	472884	465223	465220	450346	merged
SAMEA4506995	Liu2017	333122	333077	322181	321605	321605	318835	318644	315664	merged
SAMEA4506996	Liu2017	328741	328717	318025	317548	317548	316777	316765	316301	merged
SAMEA4506997	Liu2017	204099	204076	195994	194898	194898	191628	191628	190620	merged
SAMEA4506998	Liu2017	214304	214282	206797	205747	205747	203052	202509	197975	merged
SAMEA4506999	Liu2017	312782	312744	303031	302263	302263	299576	299576	297832	merged
SAMEA4507000	Liu2017	214796	214769	205983	204119	204119	201899	201899	200521	merged
SAMEA4507001	Liu2017	224316	224287	216149	215169	215169	213876	213876	212126	merged
SAMEA4507002	Liu2017	224150	224137	215926	214853	214853	202864	202363	199408	merged
SAMEA4507003	Liu2017	204920	204902	197381	196641	196641	195253	195184	182266	merged
SAMEA4507004	Liu2017	229529	229496	219349	217849	217849	216392	215735	199329	merged
SAMEA4507005	Liu2017	569444	569395	549322	548092	548092	547971	547568	544178	merged
