sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SRR28352961	Artacho2024	193512	191600	128520	127351	124383	117088	116935	116759	
SRR28352962	Artacho2024	156468	154921	103828	100488	96512	93095	92792	79569	
SRR28352963	Artacho2024	260039	116301	45773	45582	45041	44402	44402	44388	
SRR28352964	Artacho2024	178912	177299	132954	132317	130295	119985	119985	119971	
SRR28352965	Artacho2024	57496	56985	40460	39849	38795	36658	36534	36072	
SRR28352966	Artacho2024	246501	242720	57316	56828	51039	48594	48546	47596	
SRR28352967	Artacho2024	83453	82651	56930	56743	55773	55569	55562	55445	
SRR28352968	Artacho2024	153916	152401	101227	99207	96175	93074	92895	90867	
SRR28352969	Artacho2024	204276	92145	45494	45134	44001	41154	41154	40591	
SRR28352970	Artacho2024	156346	154585	95660	94449	92227	89298	89280	86579	
SRR28352971	Artacho2024	100193	44978	23254	23100	22811	21181	21177	21132	
SRR28352972	Artacho2024	216767	212729	68347	66697	63223	59266	58491	56794	
SRR28352973	Artacho2024	155637	152899	48202	48029	47233	39756	39756	39756	
SRR28352974	Artacho2024	93188	92082	60604	60535	60469	60354	60354	60354	
SRR28352975	Artacho2024	154282	69475	31046	31000	30938	30818	30818	30814	
SRR28352976	Artacho2024	108859	107581	71673	71078	69765	66172	66172	65768	
SRR28352977	Artacho2024	119965	118674	89934	89688	87509	82039	82039	82019	
SRR28352978	Artacho2024	224812	101370	51553	51253	50502	44508	44508	44502	
SRR28352979	Artacho2024	62694	61836	38243	37943	37461	37143	37140	37075	
SRR28352980	Artacho2024	214153	96984	40269	40185	40033	39817	39713	39703	
SRR28352981	Artacho2024	98149	97191	70514	70029	68373	62005	62005	60082	
SRR28352982	Artacho2024	154743	59053	3883	3851	3721	3439	3439	3439	
SRR28352983	Artacho2024	82951	81974	44859	44463	43821	43654	43492	42859	
SRR28352984	Artacho2024	196351	87911	29819	29739	29501	29198	29198	24656	
SRR28352985	Artacho2024	145669	144020	95411	93652	91060	88988	88872	88072	
SRR28352986	Artacho2024	99546	44877	19830	19785	19576	19535	19535	19285	
SRR28352987	Artacho2024	176555	79650	35936	34892	33411	31584	31375	30008	
SRR28352988	Artacho2024	151133	149536	96133	95113	92869	90551	90491	89712	
SRR28352989	Artacho2024	137304	126596	5155	5096	4916	4835	4835	4835	
SRR28352990	Artacho2024	119584	109433	3940	3899	3778	3701	3701	3701	
