run_accession	study_accession	sample_accession	fastq_ftp
ERR1688301	PRJEB16057	SAMEA4506997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688301/ERR1688301.fastq.gz
ERR1688303	PRJEB16057	SAMEA4506999	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688303/ERR1688303.fastq.gz
ERR1688304	PRJEB16057	SAMEA4507000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688304/ERR1688304.fastq.gz
ERR1688307	PRJEB16057	SAMEA4507003	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688307/ERR1688307.fastq.gz
ERR1688308	PRJEB16057	SAMEA4507004	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688308/ERR1688308.fastq.gz
ERR1688152	PRJEB16057	SAMEA4506927	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688152/ERR1688152.fastq.gz
ERR1688155	PRJEB16057	SAMEA4506930	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688155/ERR1688155.fastq.gz
ERR1688162	PRJEB16057	SAMEA4506937	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688162/ERR1688162.fastq.gz
ERR1688163	PRJEB16057	SAMEA4506938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688163/ERR1688163.fastq.gz
ERR1688168	PRJEB16057	SAMEA4506943	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688168/ERR1688168.fastq.gz
ERR1688170	PRJEB16057	SAMEA4506945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688170/ERR1688170.fastq.gz
ERR1688172	PRJEB16057	SAMEA4506947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688172/ERR1688172.fastq.gz
ERR1688175	PRJEB16057	SAMEA4506950	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688175/ERR1688175.fastq.gz
ERR1688180	PRJEB16057	SAMEA4506955	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688180/ERR1688180.fastq.gz
ERR1688183	PRJEB16057	SAMEA4506958	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688183/ERR1688183.fastq.gz
ERR1688186	PRJEB16057	SAMEA4506961	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688186/ERR1688186.fastq.gz
ERR1688190	PRJEB16057	SAMEA4506965	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688190/ERR1688190.fastq.gz
ERR1688192	PRJEB16057	SAMEA4506967	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688192/ERR1688192.fastq.gz
