run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688227	PRJEB16057	SAMEA4507002	408170	human gut metagenome	10564.XI91FUC4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688227/10564.XI91FUC4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688227
ERR1688231	PRJEB16057	SAMEA4506927	408170	human gut metagenome	10564.0QP6NJCM	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688231/10564.0QP6NJCM.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688231
ERR1688234	PRJEB16057	SAMEA4506930	408170	human gut metagenome	10564.1AIL9FDX	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688234/10564.1AIL9FDX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688234
ERR1688236	PRJEB16057	SAMEA4506932	408170	human gut metagenome	10564.341XO3HG	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688236/10564.341XO3HG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688236
ERR1688240	PRJEB16057	SAMEA4506936	408170	human gut metagenome	10564.4784ZBIO	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688240/10564.4784ZBIO.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688240
ERR1688241	PRJEB16057	SAMEA4506937	408170	human gut metagenome	10564.5CM2U7J4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688241/10564.5CM2U7J4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688241
ERR1688242	PRJEB16057	SAMEA4506938	408170	human gut metagenome	10564.74ZDKQVK	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688242/10564.74ZDKQVK.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688242
ERR1688245	PRJEB16057	SAMEA4506941	408170	human gut metagenome	10564.8HDXIBAS	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688245/10564.8HDXIBAS.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/005/ERR1688245
ERR1688246	PRJEB16057	SAMEA4506942	408170	human gut metagenome	10564.8LK21NXL	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688246/10564.8LK21NXL.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688246
ERR1688247	PRJEB16057	SAMEA4506943	408170	human gut metagenome	10564.97I96IK4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688247/10564.97I96IK4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688247
