sampleid,RS-GCF-900217715.1-NZ-OBMS01000001.1,G000779535,MJ006-2-barcode69-umi34671bins-ubs-9,RS-GCF-004099995.1-NZ-SCIF01000041.1,RS-GCF-009679795.1-NZ-WKPZ01000065.1,GB-GCA-000155935.2-GL531761.1,RS-GCF-001510975.1-NZ-CZPS01000041.1,RS-GCF-003591195.1-NZ-QYRQ01000004.1,RS-GCF-001455265.1-NZ-LKPE01000028.1,GB-GCA-900767615.1-CAAFZU010000193.1,RS-GCF-900104225.1-NZ-FNJK01000021.1,RS-GCF-018619375.1-NZ-JAHHFT010000043.1,MJ006-1-barcode47-umi70306bins-ubs-6,RS-GCF-902160305.1-NZ-CABGND010000002.1,RS-GCF-014853615.1-NZ-JACZAP010000041.1,RS-GCF-001052115.1-NZ-JWDE01000118.1,GB-GCA-016742415.1-JAEPEL010000544.1,RS-GCF-002301595.1-NZ-MOQF01000146.1,RS-GCF-013293385.1-NZ-JAAKAA010000059.1,RS-GCF-000808015.1-NZ-JWHR01000141.1,GB-GCA-018376935.1-JAHAAJ010000118.1,MJ006-1-barcode39-umi72580bins-ubs-5,MJ006-2-barcode58-umi242477bins-ubs-3,GB-GCA-905205225.1-CAJLCQ010000084.1,G902387315,LC371917,GB-GCA-900756345.1-CAAEJT010000082.1,RS-GCF-000469425.1-NZ-KI271465.1,LC522510,G900545585,GB-GCA-018052775.1-JAGPMS010000005.1,RS-GCF-900291485.1-NZ-OLKO01000008.1,AJ305238,MJ006-2-barcode57-umi34456bins-ubs-9,MJ006-2-barcode52-umi34422bins-ubs-9,MJ006-1-barcode39-umi142106bins-ubs-3,MJ006-1-barcode28-umi157746bins-ubs-3,RS-GCF-018784445.1-NZ-WQOH01000081.1,MJ006-1-barcode26-umi145558bins-ubs-3,RS-GCF-003460985.1-NZ-QTWF01000009.1,RS-GCF-016901815.1-NZ-JACSNR010000025.1,AY323228,MJ006-2-barcode65-umi128273bins-ubs-4,GB-GCA-018223415.1-JAGTTQ010000001.1--3,GB-GCA-900066735.1-FMFX01000027.1,MJ006-1-barcode41-umi228693bins-ubs-3,RS-GCF-003464105.1-NZ-QSDS01000060.1,RS-GCF-000210015.1-NC-021022.1,RS-GCF-003480145.1-NZ-QUIO01000097.1,G902167945,MJ006-1-barcode31-umi69421bins-ubs-7,G000156675,RS-GCF-003481175.1-NZ-QUKF01000070.1,G003481995,GB-GCA-000509125.1-BAII02000026.1,RS-GCF-003474085.1-NZ-QRNS01000091.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,RS-GCF-013304755.1-NZ-JAAITK010000014.1,GB-GCA-000509105.1-BAIF02000133.1,MJ006-1-barcode33-umi150609bins-ubs-3,RS-GCF-003603645.1-NZ-QVHD01000007.1,MJ005-barcode41-umi82693bins-ubs-3,RS-GCF-009759525.1-NZ-WGGT01000066.1,MJ020-1-barcode44-umi10522bins-ubs-36,MJ006-1-barcode39-umi116853bins-ubs-4,G000332875,GB-GCA-910574775.1-CAJTBX010000007.1,MJ006-1-barcode49-umi104059bins-ubs-5,RS-GCF-002847925.1-NZ-PKHW01000010.1,RS-GCF-002959815.1-NZ-PPCZ01000008.1,GB-GCA-900542515.1-UQOA01000002.1,RS-GCF-013408445.1-NZ-JACBZL010000001.1--4,RS-GCF-001812895.1-NZ-KV810708.1,RS-GCF-001814995.1-NZ-KV818677.1,AJ540309,AB818950,GB-GCA-000468795.1-AWPJ01000352.1,CP001726,AB566419
SRR10572462,0.0,0.020419253,0.0,0.0,0.0,0.0010896726,0.0,0.0,0.032681476,0.00850622,0.0,0.0,0.0,0.020360993,0.0,0.0,0.0,0.0,0.05757259,0.0,0.124524005,0.0,0.0,0.0,0.0,0.0015073487,0.0,0.0015063228,0.0,0.0,0.0,0.0,0.0,0.0,0.0022482446,0.026336595,0.0,0.0,0.04748294,0.010219016,0.0,0.0,0.0,0.0,0.013582259,0.048387002,0.0,0.0,0.0,0.0,0.0,0.00567806,0.20558807,0.0,0.0,0.002646406,0.0,0.018561836,0.0,0.071411245,0.0,0.0,0.0,0.0,0.037685174,0.0,0.0,0.10051374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14149164,0.0,0.0
SRR10572469,0.0,0.007564528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18280283,0.0,0.024929855,0.0,0.06350223,0.21697997,0.0,0.0055411775,0.0,0.0,0.0,0.0,0.0,0.102711394,0.0,0.017576579,0.026630994,0.0,0.0,0.15320638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010923738,0.006446602,0.04113579,0.07166592,0.0,0.0,0.0,0.0,0.0,0.0,0.0064488584,0.012997204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022205267,0.0,0.0,0.00636622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034967302,0.016867798,0.0
SRR10572472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032970074,0.008146696,0.0,0.0,0.0,0.0,0.0,0.0018698093,0.0024754868,0.0,0.0015707436,0.0,0.004347537,0.0018730148,0.005585251,0.00046497455,0.0,0.023119455,0.0,0.022870347,0.008078457,0.0,0.0,0.04465411,0.013080893,0.0,0.00859177,0.04827355,0.43930626,0.09947353,0.014595128,0.0,0.0,0.0,0.0035109625,0.011413679,0.0,0.008635945,0.05202236,0.005589019,0.01641184,0.013242944,0.0,0.0,0.021890897,0.00513249,0.0,0.0,0.021432074,0.0014085256,0.0,0.022588119,0.0,0.0,0.0023412793,0.0051446795,0.0,0.005848929,0.0,0.0,0.0,0.0,0.0,0.0,0.00070141413,0.0,0.0,0.0,0.039494555,0.01151632,0.0
SRR10572475,0.0,0.0,0.004184508,0.0,0.0,0.0,0.0,0.0,0.0,0.040488027,0.0,0.0,0.0,0.0130318245,0.0,0.0013906346,0.0,0.0036266407,0.001602117,0.0,0.003362733,0.0,0.0,0.0,0.0,0.0,0.0019443308,0.00083311246,0.0,0.0,0.0,0.019790825,0.0,0.011691152,0.007184391,0.0,0.0,0.0,0.51010764,0.0,0.0,0.0,0.0,0.0,0.0072338115,0.0,0.031500332,0.0,0.0,0.0,0.016990716,0.0,0.0028654442,0.041086845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032091442,0.24286647,0.0061269877
SRR10572482,0.0,0.17873141,0.0,0.0012642915,0.0,0.013038933,0.0,0.0,0.0,0.046686392,0.0,0.0077534863,0.0,0.007104367,0.0,0.0,0.0,0.0041151936,0.06577919,0.0049312296,0.073262095,0.0,0.07516471,0.0,0.0,0.0,0.058182117,0.0036868372,0.0,0.0,0.0,0.0,0.0012300857,0.0,0.007336994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05642524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020365927,0.0,0.0,0.0,0.0,0.0,0.0,0.028321534,0.0,0.0,0.04315263,0.0,0.0,0.0,0.0,0.19205096,0.11141637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666855,0.0,0.0,0.0,0.0,0.14506555,0.0,0.0,0.02876809,0.0,0.008147197,0.0,0.0,0.0,0.699003,0.11901625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666862,0.0,0.0,0.0,0.0057117958,0.0,0.0,0.0,0.0,0.18464856,0.8024839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071557467,0.0,0.0,0.0
ERR2666867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020442352,0.0,0.0,0.0,0.9772178,0.0,0.0,0.0,0.0,0.0,0.0023397931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666878,0.0,0.0,0.010740206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031279773,0.0,0.0,0.0,0.0,0.0,0.0,0.070078954,0.0,0.0,0.0,0.0,0.0,0.0394241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07534957,0.0,0.0,0.023265017,0.0,0.0,0.0,0.0,0.0,0.04119611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675554,0.008947364,0.0,0.0,0.09311436,0.0,0.0,0.0,0.0,0.052009203,0.0,0.032375153,0.0,0.0,0.0,0.0,0.0,0.0,0.25889564,0.1665689,0.0,0.0
ERR2666880,0.0,0.024606513,0.0,0.0,0.0,0.0,0.0,0.0,0.0064166044,0.21020491,0.008557204,0.0,0.0,0.37458634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006413846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021393094,0.0,0.0,0.0,0.0032070251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102679744,0.0,0.0,0.0,0.0,0.0,0.0,0.014993178,0.0096261185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21731544,0.0,0.0
ERR2666881,0.7272885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27271155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052712068,0.0,0.0,0.11892117,0.0,0.0,0.0,0.0,0.0,0.11515764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18227217,0.0,0.0,0.0055945558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076880775,0.0,0.020982672,0.0,0.0,0.30296043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019535761,0.10498272,0.0,0.0
ERR2666897,0.6425934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10723254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089538515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR2666908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060944124,0.0,0.0,0.074113935,0.0,0.0,0.026566487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055568223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006801028,0.0,0.0,0.0,0.0,0.0,0.09009202,0.04818722,0.04075603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024722049,0.0,0.06795982,0.6314,0.0,0.0,0.0
