Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,INSDC_center_alias,Library Name,collection_date,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea)
ERR10966903,AMPLICON,381,22373877,PRJEB53547,SAMEA112746311,18184288,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403741,SAMEA112746311,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746311,MOITS_049,human metagenome,ERP138358,MOITS_049,University Hospital Regensburg,ERS14741573,,,,
ERR10966904,AMPLICON,363,13599770,PRJEB53547,SAMEA112746312,11179236,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403742,SAMEA112746312,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746312,MOITS_050,human metagenome,ERP138358,MOITS_050,University Hospital Regensburg,ERS14741574,,,,
ERR10966905,AMPLICON,350,13698617,PRJEB53547,SAMEA112746313,11294929,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403743,SAMEA112746313,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746313,MOITS_051,human metagenome,ERP138358,MOITS_051,University Hospital Regensburg,ERS14741575,,,,
ERR10966906,AMPLICON,359,16185511,PRJEB53547,SAMEA112746314,13260511,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403744,SAMEA112746314,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746314,MOITS_052,human metagenome,ERP138358,MOITS_052,University Hospital Regensburg,ERS14741576,,,,
ERR10966907,AMPLICON,354,10941669,PRJEB53547,SAMEA112746315,9071279,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05T12:22:38Z,2023-03-05,2023-03-05T12:22:38Z,ERX10403745,SAMEA112746315,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746315,MOITS_053,human metagenome,ERP138358,MOITS_053,,ERS14741577,,,,
ERR10966908,AMPLICON,341,23977206,PRJEB53547,SAMEA112746316,19477934,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05T12:22:38Z,2023-03-05,2023-03-05T12:22:38Z,ERX10403746,SAMEA112746316,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746316,MOITS_054,human metagenome,ERP138358,MOITS_054,,ERS14741578,,,,
ERR10966909,AMPLICON,356,14474329,PRJEB53547,SAMEA112746317,11860558,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403747,SAMEA112746317,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746317,MOITS_055,human metagenome,ERP138358,MOITS_055,University Hospital Regensburg,ERS14741579,,,,
ERR10966910,AMPLICON,370,17245183,PRJEB53547,SAMEA112746318,14139521,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403748,SAMEA112746318,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746318,MOITS_056,human metagenome,ERP138358,MOITS_056,University Hospital Regensburg,ERS14741580,,,,
ERR10966911,AMPLICON,351,25707684,PRJEB53547,SAMEA112746319,20978025,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403749,SAMEA112746319,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746319,MOITS_057,human metagenome,ERP138358,MOITS_057,University Hospital Regensburg,ERS14741581,,,,
ERR10966912,AMPLICON,353,15933098,PRJEB53547,SAMEA112746320,13171675,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403750,SAMEA112746320,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:54:00Z,2,SAMEA112746320,MOITS_058,human metagenome,ERP138358,MOITS_058,University Hospital Regensburg,ERS14741582,,,,
ERR10966913,AMPLICON,162,40881525,PRJEB53547,SAMEA112746321,29217214,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403751,SAMEA112746321,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746321,MOITS_059,human metagenome,ERP138358,MOITS_059,University Hospital Regensburg,ERS14741583,,,,
ERR10966914,AMPLICON,374,35860653,PRJEB53547,SAMEA112746322,29571256,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403752,SAMEA112746322,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746322,MOITS_060,human metagenome,ERP138358,MOITS_060,University Hospital Regensburg,ERS14741584,,,,
ERR10966915,AMPLICON,273,10922668,PRJEB53547,SAMEA112746323,9086206,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403753,SAMEA112746323,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746323,MOITS_061,human metagenome,ERP138358,MOITS_061,University Hospital Regensburg,ERS14741585,,,,
ERR10966916,AMPLICON,360,8566291,PRJEB53547,SAMEA112746324,7087947,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403754,SAMEA112746324,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:47:00Z,1,SAMEA112746324,MOITS_062,human metagenome,ERP138358,MOITS_062,University Hospital Regensburg,ERS14741586,,,,
ERR10966917,AMPLICON,334,11477559,PRJEB53547,SAMEA112746325,9465812,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403755,SAMEA112746325,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746325,MOITS_063,human metagenome,ERP138358,MOITS_063,University Hospital Regensburg,ERS14741587,,,,
ERR10966918,AMPLICON,317,11705628,PRJEB53547,SAMEA112746326,9749549,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403756,SAMEA112746326,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:47:00Z,1,SAMEA112746326,MOITS_064,human metagenome,ERP138358,MOITS_064,University Hospital Regensburg,ERS14741588,,,,
ERR10966919,AMPLICON,365,11608002,PRJEB53547,SAMEA112746327,9568093,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403757,SAMEA112746327,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:47:00Z,1,SAMEA112746327,MOITS_065,human metagenome,ERP138358,MOITS_065,University Hospital Regensburg,ERS14741589,,,,
ERR10966920,AMPLICON,357,12617492,PRJEB53547,SAMEA112746328,10402418,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403758,SAMEA112746328,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:47:00Z,1,SAMEA112746328,MOITS_066,human metagenome,ERP138358,MOITS_066,University Hospital Regensburg,ERS14741590,,,,
