Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_strain,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,treatment
SRR10948087,AMPLICON,552,39268956,PRJNA602524,SAMN13898113,Metagenome or environmental,25011733,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615173,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre235,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:48:00Z,1,Pre235,SRP243834,Pre.HSCT.LFD
SRR10948088,AMPLICON,552,37813239,PRJNA602524,SAMN13898112,Metagenome or environmental,24209945,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615172,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre234,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,Pre234,SRP243834,Pre.HSCT.LFD
SRR10948089,AMPLICON,552,49462847,PRJNA602524,SAMN13898111,Metagenome or environmental,31721175,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615171,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre233,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,Pre233,SRP243834,Pre.HSCT.LFD
SRR10948090,AMPLICON,552,44282652,PRJNA602524,SAMN13898110,Metagenome or environmental,28482479,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615170,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre232,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,Pre232,SRP243834,Pre.HSCT.LFD
SRR10948091,AMPLICON,552,60386146,PRJNA602524,SAMN13898109,Metagenome or environmental,38045999,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615169,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post241,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,6,2020-01-22T00:49:00Z,1,Post241,SRP243834,Post.HSCT.HFD
SRR10948092,AMPLICON,552,74474302,PRJNA602524,SAMN13898082,Metagenome or environmental,44659012,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615168,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,GVHD.27.Obese.1,SRP243834,Obese
SRR10948093,AMPLICON,552,59553799,PRJNA602524,SAMN13898108,Metagenome or environmental,36988663,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615167,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post240,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,5,2020-01-22T00:48:00Z,1,Post240,SRP243834,Post.HSCT.HFD
SRR10948094,AMPLICON,552,54682315,PRJNA602524,SAMN13898107,Metagenome or environmental,33439536,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615166,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post239,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:48:00Z,1,Post239,SRP243834,Post.HSCT.HFD
SRR10948095,AMPLICON,552,54114533,PRJNA602524,SAMN13898106,Metagenome or environmental,33116787,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615165,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post238,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,Post238,SRP243834,Post.HSCT.HFD
SRR10948096,AMPLICON,552,49070383,PRJNA602524,SAMN13898105,Metagenome or environmental,30108431,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615164,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post237,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,Post237,SRP243834,Post.HSCT.HFD
SRR10948097,AMPLICON,552,48167092,PRJNA602524,SAMN13898104,Metagenome or environmental,29550211,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615163,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post236,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,Post236,SRP243834,Post.HSCT.HFD
