Feature ID	Taxon
MJ006-1-barcode32-umi11410bins-ubs-19	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ005-barcode34-umi77812bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-003602705.1-NZ-QTLK01000079.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode39-umi103118bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode29-umi33919bins-ubs-9	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ005-barcode26-umi23946bins-ubs-10	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode69-umi153123bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 caccae
RS-GCF-019052575.1-NZ-JAHQVA010000078.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode38-umi103398bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 finegoldii
AB222699	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 finegoldii
RS-GCF-015556825.1-NZ-JADNNE010000085.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-005844755.1-NZ-SPHB01000048.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode62-umi101455bins-ubs-5	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode64-umi55613bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-018785965.1-NZ-WTXO01000164.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode39-umi137529bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ005-barcode26-umi20925bins-ubs-11	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode40-umi148912bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode40-umi54882bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ032-1-barcode33-umi31449bins-ubs-11	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ005-barcode42-umi85849bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ005-barcode42-umi40461bins-ubs-6	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode64-umi139909bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode50-umi142008bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-000273215.1-NZ-JH724241.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-004793675.1-NZ-SRYX01000135.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-910574695.1-NZ-CAJTCC010000038.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-015549585.1-NZ-JADMZD010000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode29-umi101771bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 salyersiae
MJ006-2-barcode68-umi106303bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 salyersiae
MJ006-1-barcode46-umi109175bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
