sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
ERR1688152	335072	316266	94.39	308880	274244	81.85
ERR1688153	234585	219948	93.76	200700	195508	83.34
ERR1688154	203670	191759	94.15	188386	188386	92.5
ERR1688155	267472	256627	95.95	254901	180676	67.55
ERR1688156	295093	276282	93.63	268273	231309	78.39
ERR1688157	305796	284329	92.98	281990	232067	75.89
ERR1688158	216793	204322	94.25	198346	152545	70.36
ERR1688159	279198	263745	94.47	261434	199843	71.58
ERR1688160	216709	206480	95.28	202107	140098	64.65
ERR1688161	249011	230425	92.54	227020	191300	76.82
ERR1688162	293862	276765	94.18	267471	244892	83.34
ERR1688163	266172	252711	94.94	238838	238838	89.73
ERR1688164	343634	323824	94.24	320365	290449	84.52
ERR1688165	177266	166229	93.77	152663	152663	86.12
ERR1688166	135473	128062	94.53	119130	119130	87.94
ERR1688167	436811	413386	94.64	410094	206979	47.38
ERR1688168	292836	280187	95.68	277723	228430	78.01
ERR1688169	431729	415000	96.13	408678	211283	48.94
ERR1688170	698450	654767	93.75	650396	473475	67.79
ERR1688171	315116	298302	94.66	288083	276519	87.75
ERR1688172	392378	370711	94.48	358140	286078	72.91
ERR1688173	298237	285127	95.6	275961	238166	79.86
ERR1688174	400602	382766	95.55	375120	294430	73.5
ERR1688175	304519	289174	94.96	280661	265389	87.15
ERR1688176	352213	336275	95.47	328413	328413	93.24
ERR1688177	377619	359940	95.32	353935	353912	93.72
ERR1688178	275962	259907	94.18	255108	246003	89.14
ERR1688179	261682	249379	95.3	243528	201713	77.08
ERR1688180	455177	433320	95.2	429644	288730	63.43
ERR1688181	142575	135080	94.74	133091	133091	93.35
ERR1688182	238619	226693	95	219811	191350	80.19
ERR1688183	170973	161400	94.4	155026	148138	86.64
ERR1688184	186371	175203	94.01	173205	71086	38.14
ERR1688185	262982	250630	95.3	246317	228834	87.02
ERR1688186	265942	251362	94.52	241819	218121	82.02
ERR1688187	131651	124797	94.79	120089	91403	69.43
ERR1688188	233262	220551	94.55	214887	173260	74.28
ERR1688189	248854	235925	94.8	234096	155588	62.52
ERR1688190	400507	385623	96.28	377882	362527	90.52
ERR1688191	357822	341009	95.3	333978	303412	84.79
ERR1688192	287437	269394	93.72	264853	264815	92.13
ERR1688193	159501	148847	93.32	141831	141831	88.92
ERR1688194	331594	314282	94.78	308458	274332	82.73
ERR1688195	212692	198603	93.38	190699	190699	89.66
ERR1688196	337275	322197	95.53	312249	241270	71.54
ERR1688197	241515	228894	94.77	217130	208329	86.26
