Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28984058,AMPLICON,602,62529740,PRJNA1109929,SAMN41307331,Metagenome or environmental,36127335,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513138,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 149,34.646870 N 135.5067002 E,OCUBMT025_day21,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day21,SRP506877
SRR28984059,AMPLICON,602,80282118,PRJNA1109929,SAMN41307330,Metagenome or environmental,46549651,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24513137,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 148,34.646870 N 135.5067002 E,OCUBMT025_day14,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day14,SRP506877
SRR28984060,AMPLICON,602,65654120,PRJNA1109929,SAMN41307329,Metagenome or environmental,38566621,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513136,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 147,34.646870 N 135.5067002 E,OCUBMT025_day0,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day0,SRP506877
SRR28984061,AMPLICON,580,55251298,PRJNA1109929,SAMN41307328,Metagenome or environmental,29265092,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513135,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 146,34.646870 N 135.5067002 E,OCUBMT024_pre,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT024_pre,SRP506877
SRR28984062,AMPLICON,593,38254390,PRJNA1109929,SAMN41307326,Metagenome or environmental,20610220,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513133,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 144,34.646870 N 135.5067002 E,OCUBMT023_pre,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT023_pre,SRP506877
SRR28984063,AMPLICON,602,80274894,PRJNA1109929,SAMN41307325,Metagenome or environmental,43747726,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513132,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 143,34.646870 N 135.5067002 E,OCUBMT023_day49,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT023_day49,SRP506877
SRR28984064,AMPLICON,602,61012700,PRJNA1109929,SAMN41307324,Metagenome or environmental,35974037,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513131,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 142,34.646870 N 135.5067002 E,OCUBMT023_day42,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT023_day42,SRP506877
SRR28984065,AMPLICON,602,70522494,PRJNA1109929,SAMN41307327,Metagenome or environmental,41140702,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513134,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 145,34.646870 N 135.5067002 E,OCUBMT024_day14,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT024_day14,SRP506877
SRR28984066,AMPLICON,602,61547276,PRJNA1109929,SAMN41307323,Metagenome or environmental,32849201,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513130,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 141,34.646870 N 135.5067002 E,OCUBMT023_day35,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT023_day35,SRP506877
SRR28984067,AMPLICON,599,16156288,PRJNA1109929,SAMN41307197,Metagenome or environmental,8763383,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24513129,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 15,34.646870 N 135.5067002 E,OCUBMT002_day7,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT002_day7,SRP506877
